"Name","Codigo","Tipo","Categoria","Genero","Nome da familia","Familia","Nome da marca","Marca","Descricao","Custo","Status",""
"Camisa de time","P00451","Roupa","Adulto","Masculino","Masculino","a08Dn000001j2KrIAI","Nike","a09Dn000000X746IAC","Timão fica eternizada com a nova Camisa do Corinthians I 20/21 s/nº Estádio Nike. Essa versão estádio da camisa titular presta homenagem aos 30 anos do primeiro título do Campeonato Brasileiro do Corinthian.","75","DisponivelVenda ",""
"Blusa","P00452","Roupa","Adulto","Feminino","Feminino","a08Dn000001j2KsIAI","GAP","a09Dn000000X749IAC","Blusa feminina GAP logo Azul, modelagem: reta e manga: curta","25","DisponivelVenda ",""
"Sapatilha","P00453","Sapato","Teen","Feminino","Calçados","a08Dn000001j2KtIAI","Nobuck","a09Dn000000X748IAC","Sapatilha bico fino em Nobuck Tem que ter Nossos modelos atemporais queridinhos que não podem faltar em nossas coleções Mais confortáveis do que nunca.","28.99","DisponivelVenda ",""
"Tênis","P00455","Sapato","Teen","Feminino","Calçados","a08Dn000001j2KuIAI","Adidas","a09Dn000000X747IAC","Versátil para as diversas combinações, o Tênis Feminino Adidas Advantage Base é a peça-chave para o streetwear.","60","EmProducao ",""
"Tênis","P00454","Sapato","Adulto","Masculino","Calçados","a08Dn000001j2KvIAI","Nike","a09Dn000000X746IAC","Tênis Nike Downshifter 10 traz amortecimento e suporte atualizados, para garantir uma corrida estável e confortável","110","DisponivelVenda ",""
"Short","P00456","Roupa","Adulto","Feminino","Feminino","a08Dn000001j2KwIAI","Fatal","a09Dn000000X74AIAS","Short feminino confeccionado em tecido cirrê. Possui cós com passantes, tira amarração, elástico franzido atrás, bolsos frontais, acabamento e costura no tom.","26.99","EmProducao ",""
"Cinto","P00457","Acessorio","Adulto","Neutro","Acessórios","a08Dn000001j2KxIAI","George","a09Dn000000X74BIAS","Cinto confeccionado em couro","200","Descontinuado ",""
"Camisa Polo","P00458","Roupa","Adulto","Masculino","Masculino","a08Dn000001j2KyIAI","Doct","a09Dn000000X74CIAS","Mostre elegância e estilo por onde for com a polo Fashion Basic da Fatal, a opção certa para o dia a dia. Produzida com algodão e poliéster","15","Esgotado ",""
"Jaqueta","P00459","Roupa","Jovem","Neutro","Neutro","a08Dn000001j2KzIAI","Fatal","a09Dn000000X74AIAS","A jaqueta jeans é ideal para ter estilo e conforto na temporada fria e aproveitar cada momento ao máximo.","50","DisponivelVenda ",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
